Index,DataSource,ImageDate,Latitude,Longitude,PRUID,PROV_TERR,CSDUID
223,Ontario Ministry of Natural Resources and Forestry,2020,43.1645044,-79.4272734,35,Ontario,3526057
224,Ontario Ministry of Natural Resources and Forestry,2020,43.17108668,-79.43738286,35,Ontario,3526057
225,Ontario Ministry of Natural Resources and Forestry,2020,43.18406113,-79.46404342,35,Ontario,3526057
226,Ontario Ministry of Natural Resources and Forestry,2020,43.18321313,-79.46377498,35,Ontario,3526057
227,Ontario Ministry of Natural Resources and Forestry,2020,43.19487746,-79.4757007,35,Ontario,3526057
228,Ontario Ministry of Natural Resources and Forestry,2020,43.19428294,-79.47567259,35,Ontario,3526057
229,Ontario Ministry of Natural Resources and Forestry,2020,43.19356854,-79.4756204,35,Ontario,3526057
230,Ontario Ministry of Natural Resources and Forestry,2020,43.19120054,-79.48276792,35,Ontario,3526057
231,Ontario Ministry of Natural Resources and Forestry,2020,43.19152765,-79.48196544,35,Ontario,3526057
232,Ontario Ministry of Natural Resources and Forestry,2020,43.19124033,-79.48096471,35,Ontario,3526057
233,Ontario Ministry of Natural Resources and Forestry,2020,43.1919091,-79.48373774,35,Ontario,3526057
234,Ontario Ministry of Natural Resources and Forestry,2020,43.19090208,-79.48836003,35,Ontario,3526057
235,Ontario Ministry of Natural Resources and Forestry,2020,43.1914904,-79.48810016,35,Ontario,3526057
236,Ontario Ministry of Natural Resources and Forestry,2020,43.18695251,-79.48990807,35,Ontario,3526057
237,Ontario Ministry of Natural Resources and Forestry,2020,43.18582057,-79.48489472,35,Ontario,3526057
238,Ontario Ministry of Natural Resources and Forestry,2020,43.18528992,-79.48424695,35,Ontario,3526057
239,Ontario Ministry of Natural Resources and Forestry,2020,43.18668251,-79.48477177,35,Ontario,3526057
240,Ontario Ministry of Natural Resources and Forestry,2020,43.18742457,-79.48479649,35,Ontario,3526057
241,Ontario Ministry of Natural Resources and Forestry,2020,43.18816548,-79.48471767,35,Ontario,3526057
242,Ontario Ministry of Natural Resources and Forestry,2020,43.18825552,-79.51067342,35,Ontario,3526057
243,Ontario Ministry of Natural Resources and Forestry,2020,43.18761455,-79.5106174,35,Ontario,3526057
244,Ontario Ministry of Natural Resources and Forestry,2020,43.18815756,-79.51417792,35,Ontario,3526065
245,Ontario Ministry of Natural Resources and Forestry,2020,43.19491029,-79.57926531,35,Ontario,3526065
246,Ontario Ministry of Natural Resources and Forestry,2020,43.20002789,-79.61285219,35,Ontario,3526065
247,Ontario Ministry of Natural Resources and Forestry,2020,43.21057011,-79.62511607,35,Ontario,3526065
248,Ontario Ministry of Natural Resources and Forestry,2020,43.2084175,-79.63199769,35,Ontario,3525005
249,Ontario Ministry of Natural Resources and Forestry,2020,43.20798987,-79.63220103,35,Ontario,3525005
250,Ontario Ministry of Natural Resources and Forestry,2020,43.20736571,-79.63246773,35,Ontario,3525005
251,Ontario Ministry of Natural Resources and Forestry,2020,43.20897498,-79.63115204,35,Ontario,3525005
252,Ontario Ministry of Natural Resources and Forestry,2020,43.20727989,-79.63189298,35,Ontario,3525005
253,Ontario Ministry of Natural Resources and Forestry,2020,43.20826381,-79.63145322,35,Ontario,3525005
254,Ontario Ministry of Natural Resources and Forestry,2020,43.20869003,-79.63127474,35,Ontario,3525005
255,Ontario Ministry of Natural Resources and Forestry,2020,43.20876268,-79.63166071,35,Ontario,3525005
256,Ontario Ministry of Natural Resources and Forestry,2020,43.20865898,-79.63170436,35,Ontario,3525005
257,Ontario Ministry of Natural Resources and Forestry,2020,43.20512712,-79.64655697,35,Ontario,3525005
258,Ontario Ministry of Natural Resources and Forestry,2020,43.17808077,-79.6280449,35,Ontario,3526065
259,Ontario Ministry of Natural Resources and Forestry,2020,43.18302173,-79.61678512,35,Ontario,3526065
260,Ontario Ministry of Natural Resources and Forestry,2020,43.16164232,-79.57159729,35,Ontario,3526065
261,Ontario Ministry of Natural Resources and Forestry,2020,43.15556557,-79.60602207,35,Ontario,3526065
262,Ontario Ministry of Natural Resources and Forestry,2020,43.15528759,-79.6073484,35,Ontario,3526065
263,Ontario Ministry of Natural Resources and Forestry,2020,43.15468409,-79.60762003,35,Ontario,3526065
264,Ontario Ministry of Natural Resources and Forestry,2020,43.15145286,-79.5921785,35,Ontario,3526065
265,Ontario Ministry of Natural Resources and Forestry,2020,43.13773815,-79.62474842,35,Ontario,3526021
266,Ontario Ministry of Natural Resources and Forestry,2020,43.1203729,-79.6009841,35,Ontario,3526021
267,Ontario Ministry of Natural Resources and Forestry,2020,43.11987465,-79.60086413,35,Ontario,3526021
268,Ontario Ministry of Natural Resources and Forestry,2020,43.11973488,-79.59909688,35,Ontario,3526021
269,Ontario Ministry of Natural Resources and Forestry,2020,43.11931049,-79.59938013,35,Ontario,3526021
270,Ontario Ministry of Natural Resources and Forestry,2020,43.11813846,-79.5890469,35,Ontario,3526021
271,Ontario Ministry of Natural Resources and Forestry,2020,43.12250795,-79.56255783,35,Ontario,3526021
272,Ontario Ministry of Natural Resources and Forestry,2020,43.12343045,-79.56191297,35,Ontario,3526021
273,Ontario Ministry of Natural Resources and Forestry,2020,43.13336499,-79.56176859,35,Ontario,3526021
274,Ontario Ministry of Natural Resources and Forestry,2020,43.14977591,-79.52105019,35,Ontario,3526065
275,Ontario Ministry of Natural Resources and Forestry,2020,43.14950077,-79.52160935,35,Ontario,3526065
276,Ontario Ministry of Natural Resources and Forestry,2020,43.14405491,-79.51557113,35,Ontario,3526065
277,Ontario Ministry of Natural Resources and Forestry,2020,43.14367848,-79.51551353,35,Ontario,3526065
278,Ontario Ministry of Natural Resources and Forestry,2020,43.15781846,-79.49632211,35,Ontario,3526057
279,Ontario Ministry of Natural Resources and Forestry,2020,43.17356723,-79.4963739,35,Ontario,3526057
280,Ontario Ministry of Natural Resources and Forestry,2020,43.17348514,-79.49569946,35,Ontario,3526057
281,Ontario Ministry of Natural Resources and Forestry,2020,43.17348499,-79.49490423,35,Ontario,3526057
282,Ontario Ministry of Natural Resources and Forestry,2020,43.17591157,-79.48598705,35,Ontario,3526057
283,Ontario Ministry of Natural Resources and Forestry,2020,43.17638351,-79.48602635,35,Ontario,3526057
284,Ontario Ministry of Natural Resources and Forestry,2020,43.17940914,-79.48816462,35,Ontario,3526057
285,Ontario Ministry of Natural Resources and Forestry,2020,43.18122892,-79.48912412,35,Ontario,3526057
286,Ontario Ministry of Natural Resources and Forestry,2020,43.12333974,-79.48165464,35,Ontario,3526057
287,Ontario Ministry of Natural Resources and Forestry,2020,43.10572657,-79.51694829,35,Ontario,3526021
288,Ontario Ministry of Natural Resources and Forestry,2020,43.02780836,-79.55675801,35,Ontario,3526021
289,Ontario Ministry of Natural Resources and Forestry,2020,42.99197805,-79.47902797,35,Ontario,3526014
290,Ontario Ministry of Natural Resources and Forestry,2020,43.02274808,-79.38390407,35,Ontario,3526028
291,Ontario Ministry of Natural Resources and Forestry,2020,43.01763997,-79.3715246,35,Ontario,3526028
292,Ontario Ministry of Natural Resources and Forestry,2020,43.01574687,-79.36885816,35,Ontario,3526028
